run_id,replicate,analysis_branch,fold,positive_sample_seed,fold_split_seed,feature_set,model,solver,class_weight,penalty,max_iter,threshold,accuracy,f1,mcc,auroc,auprc,precision,sensitivity,specificity,tp,tn,fp,fn,support,pos_n,neg_n
PILOT-R01-R09-core_only-F4,R09,core_only,4,50,50,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7209302325581395,0.8,0.49559462778335206,0.8055555555555556,0.9619195068081452,1.0,0.6666666666666666,1.0,24,7,0,12,43,36,7
PILOT-R01-R09-sensplus-F1,R09,sensplus,1,50,50,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7111111111111111,0.8059701492537313,0.28769822778437526,0.6824324324324325,0.9257566655820193,0.9,0.7297297297297297,0.625,27,5,3,10,45,37,8
PILOT-R01-R09-sensplus-F2,R09,sensplus,2,50,50,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.75,0.835820895522388,0.3404938109435677,0.7604166666666667,0.9414004238744892,0.9032258064516129,0.7777777777777778,0.625,28,5,3,8,44,36,8
PILOT-R01-R09-sensplus-F3,R09,sensplus,3,50,50,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6818181818181818,0.78125,0.25612535683274,0.7048611111111112,0.917661203591611,0.8928571428571429,0.6944444444444444,0.625,25,5,3,11,44,36,8
PILOT-R01-R09-sensplus-F4,R09,sensplus,4,50,50,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6363636363636364,0.7241379310344828,0.3535533905932738,0.75,0.9393690714640557,0.9545454545454546,0.5833333333333334,0.875,21,7,1,15,44,36,8
PILOT-R01-R10-core_only-F1,R10,core_only,1,51,51,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7272727272727273,0.8181818181818182,0.34261259936765637,0.6756756756756757,0.9321626818815418,0.9310344827586207,0.7297297297297297,0.7142857142857143,27,5,2,10,44,37,7
PILOT-R01-R10-core_only-F2,R10,core_only,2,51,51,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6590909090909091,0.7692307692307693,0.15821481751152242,0.7152777777777778,0.9332246646513332,0.8620689655172413,0.6944444444444444,0.5,25,4,4,11,44,36,8
PILOT-R01-R10-core_only-F3,R10,core_only,3,51,51,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.46511627906976744,0.5964912280701754,-0.0732687446305552,0.503968253968254,0.8364510269884977,0.8095238095238095,0.4722222222222222,0.42857142857142855,17,3,4,19,43,36,7
PILOT-R01-R10-core_only-F4,R10,core_only,4,51,51,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6976744186046512,0.8,0.23134942932427308,0.757936507936508,0.9523083492130403,0.896551724137931,0.7222222222222222,0.5714285714285714,26,4,3,10,43,36,7
PILOT-R01-R10-sensplus-F1,R10,sensplus,1,51,51,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7333333333333333,0.8181818181818182,0.3831629414515067,0.6824324324324323,0.9290273580470712,0.9310344827586207,0.7297297297297297,0.75,27,6,2,10,45,37,8
PILOT-R01-R10-sensplus-F2,R10,sensplus,2,51,51,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7045454545454546,0.8059701492537313,0.21134098610290408,0.7430555555555557,0.9414497129615816,0.8709677419354839,0.75,0.5,27,4,4,9,44,36,8
PILOT-R01-R10-sensplus-F3,R10,sensplus,3,51,51,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.45454545454545453,0.5862068965517241,-0.11785113019775792,0.4791666666666667,0.8129882561506498,0.7727272727272727,0.4722222222222222,0.375,17,3,5,19,44,36,8
PILOT-R01-R10-sensplus-F4,R10,sensplus,4,51,51,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6818181818181818,0.7878787878787878,0.18401748249129446,0.7326388888888888,0.9356980652456226,0.8666666666666667,0.7222222222222222,0.5,26,4,4,10,44,36,8
